studlab,treat1,treat2,TE,seTE
Attal 2019,IsP + GC,P + GC,-0.5175146119167874,0.15568130985258583
Bahlis 2020,DR + GC,R + GC,-0.8209805520698302,0.11530444623173144
Dimopoulos 2013,VorV,V,-0.2613647641344075,0.09806601089165987
Dimopoulos 2016,K + GC,V + GC,-0.6348782724359694,0.09954204236792237
Dimopoulos 2018,EP + GC,P + GC,-0.616186139423817,0.23673566936871995
Dimopoulos 2020,ER + GC,R + GC,-0.3285040669720361,0.09478836329731799
Dimopoulos 2021,DP + GC,P + GC,-0.4620354595965587,0.15115166897296362
Garderet 2012,VT + GC,T + GC,-0.4942963218147801,0.1499483331169617
Grosicki 2020,SeV + GC,V + GC,-0.35667494393873245,0.14344844702161486
HÃ¡jek 2017,K,GC,0.08709470685093373,0.131221295245144
Hou 2017,IR + GC,R + GC,-0.5141645250315052,0.24847241176077958
Iida 2018,V + GC,T + GC,0.5653138090500605,0.3312036250523229
Jakubowiak 2016,EV + GC,V + GC,-0.2744368457017603,0.18159499847624647
Kropff 2017,V + GC,CyV + GC,-0.34249030894677596,0.25967910263842015
Kumar 2020,VeV + GC,V + GC,-0.4620354595965587,0.1825594863111577
Lu 2021,DV + GC,V + GC,-1.2729656758128873,0.25942677153133686
Mateos 2019,PemP + GC,P + GC,0.4252677354043441,0.1910027525047758
Mateos 2020.1,DV + GC,V + GC,-1.1711829815029453,0.11990108822230011
Montefusco 2020,CyV + GC,CyR + GC,-0.1278333715098849,0.18707313707536505
Moreau 2016,IR + GC,R + GC,-0.30110509278392167,0.1188178308474337
Moreau 2021,IsK + GC,K + GC,-0.6348782724359695,0.19855750253386198
Orlowski 2007,V,DoxV,0.5247285289349821,0.12563406495792423
Orlowski 2015,SV,V,-0.140412153716745,0.14819802279644947
Raje 2017,TabV + GC,V + GC,0.07676933710512521,0.12507695496356164
Richardson 2014,P + GC,P,-0.3856624808119846,0.1448965496524745
Richardson 2019,PV + GC,V + GC,-0.49429632181478,0.11530444623173138
San-Miguel 2014,FV + GC,V + GC,-0.4620354595965587,0.09681035587854406
SanMiguel 2013,P + GC,GC,-0.7339691750802003,0.10989562040180711
Siegel 2018,KR + GC,R + GC,-0.4155154439616658,0.08912807689655304
Usmani 2022,DK + GC,K + GC,-0.527632742082372,0.14032052151416238
White 2013,BevV,V,-0.2970592342643779,0.2782781104220241
